feature,min,max
EO_m_central_theta_skew,-2.132789391,6.242427853
EO_r_central_alpha_std,-1.47062683,6.178067314
EC_m_central_alpha_kurt,-1.239864856,6.170349829
EO_r_frontal_beta_kurt,-1.070468255,6.163592413
EO_l_central_theta_skew,-2.399443188,6.126797112
EC_r_posterior_alpha_kurt,-1.166004795,6.109296671
EO_m_frontal_beta_mean,-1.537063911,6.058749683
EO_m_frontal_beta_median,-1.537063911,6.058749683
EC_l_posterior_alpha_kurt,-1.200805726,6.043532331
EO_r_posterior_alpha_kurt,-1.231581256,5.985106697
EO_l_frontal_beta_kurt,-1.079888472,5.970997023
EO_r_frontal_theta_skew,-2.18511591,5.967319243
EO_m_posterior_beta_kurt,-1.214862699,5.954925754
EC_r_frontal_beta_mean,-1.720927103,5.941910128
EC_r_frontal_beta_median,-1.720927103,5.941910128
EO_l_posterior_beta_kurt,-1.233312709,5.940321817
EO_m_posterior_theta_skew,-2.156140701,5.934866246
EC_m_posterior_beta_mean,-1.885689322,5.932309744
EC_m_posterior_beta_median,-1.885689322,5.932309744
EO_l_central_beta_mean,-1.698286078,5.913365164
EO_l_central_beta_median,-1.698286078,5.913365164
EC_r_central_gamma_skew,-1.584618212,5.885771612
EO_l_frontal_alpha_kurt,-1.255780126,5.879886643
EO_m_central_delta_skew,-2.115884933,5.856372816
EC_m_central_beta_mean,-1.738151103,5.844665144
EC_m_central_beta_median,-1.738151103,5.844665144
EO_r_central_beta_skew,-2.094627801,5.840018704
EC_l_frontal_delta_kurt,-1.203158953,5.839025546
EO_l_frontal_theta_skew,-1.992695045,5.822581282
EC_r_posterior_beta_mean,-1.914070249,5.822516994
EC_r_posterior_beta_median,-1.914070249,5.822516994
EC_r_central_alpha_std,-2.060331486,5.817769165
EO_m_posterior_beta_mean,-1.915354141,5.808326697
EO_m_posterior_beta_median,-1.915354141,5.808326697
EO_l_central_alpha_kurt,-1.242967693,5.7609949
EO_m_central_alpha_skew,-2.258189136,5.750639338
EO_r_central_delta_skew,-2.040797518,5.743797614
EC_l_posterior_gamma_skew,-1.653368262,5.74141181
EC_m_central_alpha_std,-2.022075318,5.72406989
EO_m_frontal_theta_skew,-2.118493842,5.678942504
EC_l_posterior_beta_mean,-1.903837438,5.676698495
EC_l_posterior_beta_median,-1.903837438,5.676698495
EO_r_posterior_theta_skew,-2.227800837,5.604268253
EC_l_posterior_beta_skew,-2.295571471,5.596961281
EC_r_frontal_gamma_skew,-1.627248593,5.587068716
EC_m_posterior_gamma_skew,-1.740363384,5.569186853
EC_m_central_gamma_skew,-1.615842914,5.558082617
EC_l_posterior_delta_skew,-2.083002093,5.556498361
EC_l_frontal_beta_mean,-1.720606279,5.544752356
EC_l_frontal_beta_median,-1.720606279,5.544752356
EO_r_posterior_delta_skew,-2.000775266,5.533981405
EO_r_posterior_beta_skew,-2.30672255,5.528603035
EC_r_central_beta_mean,-1.786252581,5.523485729
EC_r_central_beta_median,-1.786252581,5.523485729
EO_r_frontal_alpha_kurt,-1.180266066,5.506583482
EO_l_central_delta_skew,-2.096439942,5.504332082
EO_l_posterior_delta_skew,-2.160903291,5.471806557
EC_m_posterior_delta_skew,-2.160095047,5.467455002
EC_m_central_beta_skew,-2.265189651,5.416579341
EO_m_posterior_delta_skew,-2.137507831,5.394098292
